Sector A,Sector B,Sector C
-8.06764,,
-2.87608,,
2.89232,,
8.66072,,
14.42912,,
20.19752,,
25.96592,,
31.73432,,
37.50272,,
43.27112,,
49.03952,,
54.80792,,
60.57632,,
66.34472,,
72.11312,,
77.88152,,
83.64992,,
95.18672,,
